AfID,Route,Fare,FSC
1,1,682.38,23.71
2,2,899.3,28.49
3,3,915.95,20.25
4,4,781.32,28.63
5,5,308.71,18.21
6,6,547.85,32.16
7,7,791.45,21.93
8,8,718.8,25.61
9,9,989.38,35.42
10,10,280.27,39.56
11,11,418.54,44.4
12,12,560.85,20.66
13,13,747.5,37.59
14,14,366.82,34.13
15,15,580.1,32.7
16,16,734.3,38.9
17,17,923.86,19.18
18,18,367.3,11.34
19,19,441.48,23.49
20,20,653.43,33.95
21,21,734.77,12.81
22,22,642.67,31.4
23,23,468.1,33.44
24,24,710.67,42.37
25,25,380.79,18.26
26,26,777.46,33.76
27,27,521.43,37.53
28,28,139.83,39.69
29,29,575.19,32.06
30,30,212.38,24.89
31,31,197.18,29.71
32,32,794.96,21.77
33,33,456.15,25.32
34,34,456.9,45.56
35,35,922.42,45.39
36,36,606.63,31.25
37,37,309.07,25.22
38,38,148.91,16.74
39,39,938.68,18.18
40,40,231.64,29.12
41,41,899.88,22.9
42,42,790.69,39.33
43,43,379.92,41.14
44,44,369.62,25.25
45,45,606.04,34.51
46,46,194.72,43.17
47,47,583.91,40.57
48,48,677.34,24.2
49,49,367.19,29.22
50,50,288.48,29.62
