DiID,Title,Amount,Description
1,Discount1,14,Description for discount 1
2,Discount2,18,Description for discount 2
3,Discount3,30,Description for discount 3
4,Discount4,21,Description for discount 4
5,Discount5,7,Description for discount 5
6,Discount6,15,Description for discount 6
7,Discount7,25,Description for discount 7
8,Discount8,5,Description for discount 8
9,Discount9,29,Description for discount 9
10,Discount10,16,Description for discount 10
11,Discount11,26,Description for discount 11
12,Discount12,24,Description for discount 12
13,Discount13,26,Description for discount 13
14,Discount14,28,Description for discount 14
15,Discount15,18,Description for discount 15
16,Discount16,5,Description for discount 16
17,Discount17,13,Description for discount 17
18,Discount18,15,Description for discount 18
19,Discount19,29,Description for discount 19
20,Discount20,20,Description for discount 20
21,Discount21,14,Description for discount 21
22,Discount22,30,Description for discount 22
23,Discount23,20,Description for discount 23
24,Discount24,26,Description for discount 24
25,Discount25,10,Description for discount 25
26,Discount26,15,Description for discount 26
27,Discount27,26,Description for discount 27
28,Discount28,5,Description for discount 28
29,Discount29,24,Description for discount 29
30,Discount30,12,Description for discount 30
31,Discount31,15,Description for discount 31
32,Discount32,25,Description for discount 32
33,Discount33,21,Description for discount 33
34,Discount34,29,Description for discount 34
35,Discount35,27,Description for discount 35
36,Discount36,27,Description for discount 36
37,Discount37,26,Description for discount 37
38,Discount38,28,Description for discount 38
39,Discount39,7,Description for discount 39
40,Discount40,24,Description for discount 40
41,Discount41,26,Description for discount 41
42,Discount42,18,Description for discount 42
43,Discount43,10,Description for discount 43
44,Discount44,20,Description for discount 44
45,Discount45,21,Description for discount 45
46,Discount46,25,Description for discount 46
47,Discount47,30,Description for discount 47
48,Discount48,28,Description for discount 48
49,Discount49,8,Description for discount 49
50,Discount50,24,Description for discount 50
