RtID,Airport,Destination,RouteCode
1,Airport1,Destination1,RT001
2,Airport2,Destination2,RT002
3,Airport3,Destination3,RT003
4,Airport4,Destination4,RT004
5,Airport5,Destination5,RT005
6,Airport6,Destination6,RT006
7,Airport7,Destination7,RT007
8,Airport8,Destination8,RT008
9,Airport9,Destination9,RT009
10,Airport10,Destination10,RT010
11,Airport11,Destination11,RT011
12,Airport12,Destination12,RT012
13,Airport13,Destination13,RT013
14,Airport14,Destination14,RT014
15,Airport15,Destination15,RT015
16,Airport16,Destination16,RT016
17,Airport17,Destination17,RT017
18,Airport18,Destination18,RT018
19,Airport19,Destination19,RT019
20,Airport20,Destination20,RT020
21,Airport21,Destination21,RT021
22,Airport22,Destination22,RT022
23,Airport23,Destination23,RT023
24,Airport24,Destination24,RT024
25,Airport25,Destination25,RT025
26,Airport26,Destination26,RT026
27,Airport27,Destination27,RT027
28,Airport28,Destination28,RT028
29,Airport29,Destination29,RT029
30,Airport30,Destination30,RT030
31,Airport31,Destination31,RT031
32,Airport32,Destination32,RT032
33,Airport33,Destination33,RT033
34,Airport34,Destination34,RT034
35,Airport35,Destination35,RT035
36,Airport36,Destination36,RT036
37,Airport37,Destination37,RT037
38,Airport38,Destination38,RT038
39,Airport39,Destination39,RT039
40,Airport40,Destination40,RT040
41,Airport41,Destination41,RT041
42,Airport42,Destination42,RT042
43,Airport43,Destination43,RT043
44,Airport44,Destination44,RT044
45,Airport45,Destination45,RT045
46,Airport46,Destination46,RT046
47,Airport47,Destination47,RT047
48,Airport48,Destination48,RT048
49,Airport49,Destination49,RT049
50,Airport50,Destination50,RT050
