TsID,BookingDate,DepartureDate,Passenger,Flight,Type,Employee,Charges,Discount
1,2024-11-01 00:00:00,2024-05-21 00:00:00,28,28,1,60,33,29
2,2024-11-19 00:00:00,2024-07-08 00:00:00,17,28,1,3,29,28
3,2024-04-14 00:00:00,2024-03-19 00:00:00,94,27,0,77,45,16
4,2024-03-15 00:00:00,2024-04-26 00:00:00,23,26,1,1,11,36
5,2024-11-05 00:00:00,2024-11-10 00:00:00,46,19,1,93,8,29
6,2024-08-06 00:00:00,2024-02-05 00:00:00,57,10,1,65,8,50
7,2024-03-19 00:00:00,2024-06-15 00:00:00,5,9,1,73,39,33
8,2024-01-03 00:00:00,2024-08-18 00:00:00,83,38,1,79,43,38
9,2024-09-20 00:00:00,2024-06-09 00:00:00,16,39,1,9,19,19
10,2024-04-23 00:00:00,2024-10-19 00:00:00,78,36,1,38,32,47
11,2024-11-03 00:00:00,2024-07-06 00:00:00,11,11,1,7,4,36
12,2024-02-22 00:00:00,2024-06-07 00:00:00,83,29,1,1,25,36
13,2024-04-30 00:00:00,2024-02-14 00:00:00,86,10,0,56,40,32
14,2024-05-10 00:00:00,2024-06-06 00:00:00,74,37,1,19,32,8
15,2024-07-03 00:00:00,2024-06-05 00:00:00,70,38,1,44,46,46
16,2024-05-17 00:00:00,2024-12-02 00:00:00,28,1,1,25,17,35
17,2024-10-12 00:00:00,2024-08-05 00:00:00,38,49,1,71,10,47
18,2024-11-28 00:00:00,2024-02-18 00:00:00,93,18,1,11,34,42
19,2024-02-10 00:00:00,2024-12-14 00:00:00,94,22,1,35,7,44
20,2024-05-05 00:00:00,2024-09-13 00:00:00,82,1,0,87,1,48
21,2024-10-09 00:00:00,2024-10-09 00:00:00,25,35,0,100,24,32
22,2024-06-17 00:00:00,2024-05-13 00:00:00,63,42,0,70,31,15
23,2024-03-09 00:00:00,2024-12-01 00:00:00,63,7,0,16,31,12
24,2024-10-12 00:00:00,2024-07-07 00:00:00,17,38,0,23,19,50
