FlID,FlightDate,Departure,Arrival,Aircraft,NetFare
1,2025-05-27 18:00:00,2025-05-27 18:00:00,2025-05-27 23:00:00,AC001,3
2,2025-07-06 08:00:00,2025-07-06 08:00:00,2025-07-06 17:00:00,AC007,3
3,2025-05-02 10:00:00,2025-05-02 10:00:00,2025-05-02 16:00:00,AC006,23
4,2024-11-19 21:00:00,2024-11-19 21:00:00,2024-11-20 04:00:00,AC008,43
5,2025-08-21 19:00:00,2025-08-21 19:00:00,2025-08-22 02:00:00,AC001,2
6,2024-04-08 23:00:00,2024-04-08 23:00:00,2024-04-09 04:00:00,AC009,11
7,2025-06-04 08:00:00,2025-06-04 08:00:00,2025-06-04 17:00:00,AC001,7
8,2025-09-20 12:00:00,2025-09-20 12:00:00,2025-09-20 19:00:00,AC003,16
9,2024-02-08 23:00:00,2024-02-08 23:00:00,2024-02-09 02:00:00,AC001,10
10,2024-02-26 02:00:00,2024-02-26 02:00:00,2024-02-26 10:00:00,AC005,40
11,2025-07-22 04:00:00,2025-07-22 04:00:00,2025-07-22 07:00:00,AC002,26
12,2024-02-01 17:00:00,2024-02-01 17:00:00,2024-02-01 23:00:00,AC006,5
13,2025-05-12 09:00:00,2025-05-12 09:00:00,2025-05-12 17:00:00,AC002,43
14,2025-01-11 03:00:00,2025-01-11 03:00:00,2025-01-11 10:00:00,AC002,35
15,2024-02-07 10:00:00,2024-02-07 10:00:00,2024-02-07 15:00:00,AC010,41
16,2025-10-05 23:00:00,2025-10-05 23:00:00,2025-10-06 09:00:00,AC006,35
17,2025-04-03 05:00:00,2025-04-03 05:00:00,2025-04-03 11:00:00,AC002,24
18,2024-10-01 04:00:00,2024-10-01 04:00:00,2024-10-01 06:00:00,AC008,31
19,2024-04-24 23:00:00,2024-04-24 23:00:00,2024-04-25 01:00:00,AC010,15
20,2025-06-06 19:00:00,2025-06-06 19:00:00,2025-06-07 00:00:00,AC010,35
21,2024-02-22 23:00:00,2024-02-22 23:00:00,2024-02-23 00:00:00,AC008,17
22,2025-08-24 20:00:00,2025-08-24 20:00:00,2025-08-25 00:00:00,AC009,32
23,2025-03-01 01:00:00,2025-03-01 01:00:00,2025-03-01 05:00:00,AC004,42
24,2025-07-26 06:00:00,2025-07-26 06:00:00,2025-07-26 14:00:00,AC009,1
25,2025-04-23 13:00:00,2025-04-23 13:00:00,2025-04-23 20:00:00,AC006,22
26,2025-11-01 15:00:00,2025-11-01 15:00:00,2025-11-02 00:00:00,AC009,39
27,2024-06-16 18:00:00,2024-06-16 18:00:00,2024-06-16 21:00:00,AC009,20
28,2024-02-02 23:00:00,2024-02-02 23:00:00,2024-02-03 04:00:00,AC007,37
29,2024-04-09 16:00:00,2024-04-09 16:00:00,2024-04-09 19:00:00,AC001,23
30,2024-08-25 17:00:00,2024-08-25 17:00:00,2024-08-25 19:00:00,AC005,18
31,2024-11-10 21:00:00,2024-11-10 21:00:00,2024-11-11 02:00:00,AC009,21
32,2025-02-27 19:00:00,2025-02-27 19:00:00,2025-02-28 00:00:00,AC005,1
33,2025-02-25 08:00:00,2025-02-25 08:00:00,2025-02-25 14:00:00,AC009,9
34,2024-02-08 14:00:00,2024-02-08 14:00:00,2024-02-08 23:00:00,AC002,30
35,2025-11-11 22:00:00,2025-11-11 22:00:00,2025-11-12 08:00:00,AC010,25
36,2025-08-25 00:00:00,2025-08-25 00:00:00,2025-08-25 01:00:00,AC005,3
37,2025-07-18 00:00:00,2025-07-18 00:00:00,2025-07-18 06:00:00,AC008,43
38,2025-05-20 21:00:00,2025-05-20 21:00:00,2025-05-21 02:00:00,AC003,40
39,2025-11-03 12:00:00,2025-11-03 12:00:00,2025-11-03 18:00:00,AC001,17
40,2024-03-24 02:00:00,2024-03-24 02:00:00,2024-03-24 06:00:00,AC004,2
41,2025-09-21 14:00:00,2025-09-21 14:00:00,2025-09-21 15:00:00,AC007,24
42,2024-12-07 11:00:00,2024-12-07 11:00:00,2024-12-07 12:00:00,AC007,47
43,2025-11-11 18:00:00,2025-11-11 18:00:00,2025-11-11 20:00:00,AC004,23
44,2024-06-25 05:00:00,2024-06-25 05:00:00,2024-06-25 12:00:00,AC005,34
