ChID,Title,Amount,Description
1,Baggage Fee,50,Fee for checked baggage
1,Baggage Fee,50,Fee for checked baggage
1,Baggage Fee,50,Fee for checked baggage
1,Baggage Fee,50,Fee for checked baggage
2,Seat Selection Fee,20,Fee for choosing a preferred seat
2,Seat Selection Fee,20,Fee for choosing a preferred seat
2,Seat Selection Fee,20,Fee for choosing a preferred seat
2,Seat Selection Fee,20,Fee for choosing a preferred seat
3,Change Fee,75,Fee for changing flight details
3,Change Fee,75,Fee for changing flight details
3,Change Fee,75,Fee for changing flight details
3,Change Fee,75,Fee for changing flight details
4,In-Flight Meal,15,Cost for an in-flight meal
4,In-Flight Meal,15,Cost for an in-flight meal
4,In-Flight Meal,15,Cost for an in-flight meal
4,In-Flight Meal,15,Cost for an in-flight meal
5,Priority Boarding,30,Fee for priority boarding access
5,Priority Boarding,30,Fee for priority boarding access
5,Priority Boarding,30,Fee for priority boarding access
5,Priority Boarding,30,Fee for priority boarding access
6,Extra Legroom,40,Fee for extra legroom seating
6,Extra Legroom,40,Fee for extra legroom seating
6,Extra Legroom,40,Fee for extra legroom seating
7,Wi-Fi Access,10,Cost for in-flight Wi-Fi service
7,Wi-Fi Access,10,Cost for in-flight Wi-Fi service
7,Wi-Fi Access,10,Cost for in-flight Wi-Fi service
8,Pet Travel Fee,100,Fee for traveling with a pet in-cabin
8,Pet Travel Fee,100,Fee for traveling with a pet in-cabin
8,Pet Travel Fee,100,Fee for traveling with a pet in-cabin
9,Lounge Access,50,Fee for access to airport lounge
9,Lounge Access,50,Fee for access to airport lounge
9,Lounge Access,50,Fee for access to airport lounge
10,Cancellation Fee,200,Fee for canceling a flight reservation
10,Cancellation Fee,200,Fee for canceling a flight reservation
10,Cancellation Fee,200,Fee for canceling a flight reservation
11,Flight Delay Compensation,25,Compensation for flight delays
11,Flight Delay Compensation,25,Compensation for flight delays
11,Flight Delay Compensation,25,Compensation for flight delays
12,Unaccompanied Minor Fee,150,Fee for children traveling alone
12,Unaccompanied Minor Fee,150,Fee for children traveling alone
12,Unaccompanied Minor Fee,150,Fee for children traveling alone
13,Oversized Baggage Fee,80,Fee for baggage exceeding size limits
13,Oversized Baggage Fee,80,Fee for baggage exceeding size limits
13,Oversized Baggage Fee,80,Fee for baggage exceeding size limits
14,Sports Equipment Fee,60,Fee for checking sports equipment
14,Sports Equipment Fee,60,Fee for checking sports equipment
14,Sports Equipment Fee,60,Fee for checking sports equipment
15,Ticket Reprint Fee,10,Fee for reprinting tickets at the airport
15,Ticket Reprint Fee,10,Fee for reprinting tickets at the airport
15,Ticket Reprint Fee,10,Fee for reprinting tickets at the airport
7,Wi-Fi Access,10,Cost for in-flight Wi-Fi service
