FlID,FlightDate,Departure,Arrival,Aircraft,NetFare
1,5/27/2025,5/27/2025 18:00,5/27/2025 23:00,AC001,3
2,7/6/2025,7/6/2025 8:00,7/6/2025 17:00,AC007,3
3,5/2/2025,5/2/2025 10:00,5/2/2025 16:00,AC006,23
4,11/19/2024,11/19/2024 21:00,11/20/2024 4:00,AC008,43
5,8/21/2025,8/21/2025 19:00,8/22/2025 2:00,AC001,2
6,4/8/2024,4/8/2024 23:00,4/9/2024 4:00,AC009,11
7,6/4/2025,6/4/2025 8:00,6/4/2025 17:00,AC001,7
8,9/20/2025,9/20/2025 12:00,9/20/2025 19:00,AC003,16
9,2/8/2024,2/8/2024 23:00,2/9/2024 2:00,AC001,10
10,2/26/2024,2/26/2024 2:00,2/26/2024 10:00,AC005,40
11,7/22/2025,7/22/2025 4:00,7/22/2025 7:00,AC002,26
12,2/1/2024,2/1/2024 17:00,2/1/2024 23:00,AC006,5
13,5/12/2025,5/12/2025 9:00,5/12/2025 17:00,AC002,43
14,1/11/2025,1/11/2025 3:00,1/11/2025 10:00,AC002,35
15,2/7/2024,2/7/2024 10:00,2/7/2024 15:00,AC010,41
16,10/5/2025,10/5/2025 23:00,10/6/2025 9:00,AC006,35
17,4/3/2025,4/3/2025 5:00,4/3/2025 11:00,AC002,24
18,10/1/2024,10/1/2024 4:00,10/1/2024 6:00,AC008,31
19,4/24/2024,4/24/2024 23:00,4/25/2024 1:00,AC010,15
20,6/6/2025,6/6/2025 19:00,6/7/2025 0:00,AC010,35
21,2/22/2024,2/22/2024 23:00,2/23/2024 0:00,AC008,17
22,8/24/2025,8/24/2025 20:00,8/25/2025 0:00,AC009,32
23,3/1/2025,3/1/2025 1:00,3/1/2025 5:00,AC004,42
24,7/26/2025,7/26/2025 6:00,7/26/2025 14:00,AC009,1
25,4/23/2025,4/23/2025 13:00,4/23/2025 20:00,AC006,22
26,11/1/2025,11/1/2025 15:00,11/2/2025 0:00,AC009,39
27,6/16/2024,6/16/2024 18:00,6/16/2024 21:00,AC009,20
28,2/2/2024,2/2/2024 23:00,2/3/2024 4:00,AC007,37
29,4/9/2024,4/9/2024 16:00,4/9/2024 19:00,AC001,23
30,8/25/2024,8/25/2024 17:00,8/25/2024 19:00,AC005,18
31,11/10/2024,11/10/2024 21:00,11/11/2024 2:00,AC009,21
32,2/27/2025,2/27/2025 19:00,2/28/2025 0:00,AC005,1
33,2/25/2025,2/25/2025 8:00,2/25/2025 14:00,AC009,9
34,2/8/2024,2/8/2024 14:00,2/8/2024 23:00,AC002,30
35,11/11/2025,11/11/2025 22:00,11/12/2025 8:00,AC010,25
36,8/25/2025,8/25/2025 0:00,8/25/2025 1:00,AC005,3
37,7/18/2025,7/18/2025 0:00,7/18/2025 6:00,AC008,43
38,5/20/2025,5/20/2025 21:00,5/21/2025 2:00,AC003,40
39,11/3/2025,11/3/2025 12:00,11/3/2025 18:00,AC001,17
40,3/24/2024,3/24/2024 2:00,3/24/2024 6:00,AC004,2
41,9/21/2025,9/21/2025 14:00,9/21/2025 15:00,AC007,24
42,12/7/2024,12/7/2024 11:00,12/7/2024 12:00,AC007,47
43,11/11/2025,11/11/2025 18:00,11/11/2025 20:00,AC004,23
44,6/25/2024,6/25/2024 5:00,6/25/2024 12:00,AC005,34
45,8/22/2024,8/22/2024 13:00,8/22/2024 17:00,AC003,41
46,6/2/2024,6/2/2024 9:00,6/2/2024 19:00,AC001,20
47,6/18/2024,6/18/2024 17:00,6/19/2024 2:00,AC007,31
48,10/25/2025,10/25/2025 21:00,10/25/2025 23:00,AC010,15
49,1/4/2025,1/4/2025 11:00,1/4/2025 13:00,AC009,8
50,6/20/2025,6/20/2025 2:00,6/20/2025 3:00,AC009,8
51,3/3/2025,3/3/2025 6:00,3/3/2025 14:00,AC001,3
52,3/4/2025,3/4/2025 18:00,3/4/2025 19:00,AC010,3
53,2/19/2025,2/19/2025 13:00,2/19/2025 22:00,AC005,23
54,6/18/2024,6/18/2024 23:00,6/19/2024 8:00,AC005,43
55,7/18/2024,7/18/2024 10:00,7/18/2024 11:00,AC008,2
56,7/16/2025,7/16/2025 20:00,7/16/2025 21:00,AC010,11
57,6/19/2024,6/19/2024 8:00,6/19/2024 18:00,AC008,7
58,1/2/2025,1/2/2025 15:00,1/2/2025 20:00,AC009,16
59,8/15/2024,8/15/2024 8:00,8/15/2024 17:00,AC005,10
60,1/1/2025,1/1/2025 16:00,1/1/2025 20:00,AC005,40
61,4/19/2024,4/19/2024 4:00,4/19/2024 7:00,AC002,26
62,6/12/2024,6/12/2024 4:00,6/12/2024 12:00,AC010,5
63,11/3/2024,11/3/2024 5:00,11/3/2024 7:00,AC003,43
64,11/1/2025,11/1/2025 1:00,11/1/2025 5:00,AC007,35
65,7/4/2024,7/4/2024 10:00,7/4/2024 20:00,AC009,41
66,6/10/2025,6/10/2025 17:00,6/10/2025 19:00,AC002,35
67,1/24/2025,1/24/2025 8:00,1/24/2025 18:00,AC004,24
68,8/13/2024,8/13/2024 21:00,8/14/2024 5:00,AC003,31
69,8/7/2024,8/7/2024 14:00,8/8/2024 0:00,AC004,15
70,6/18/2025,6/18/2025 6:00,6/18/2025 14:00,AC004,35
71,7/7/2024,7/7/2024 6:00,7/7/2024 7:00,AC001,17
72,10/6/2025,10/6/2025 16:00,10/7/2025 2:00,AC002,32
73,11/21/2025,11/21/2025 14:00,11/21/2025 18:00,AC003,42
74,1/25/2024,1/25/2024 5:00,1/25/2024 8:00,AC001,1
75,10/5/2024,10/5/2024 11:00,10/5/2024 18:00,AC001,22
76,4/2/2024,4/2/2024 16:00,4/2/2024 23:00,AC007,39
77,10/21/2025,10/21/2025 15:00,10/21/2025 17:00,AC010,20
78,3/8/2024,3/8/2024 23:00,3/9/2024 9:00,AC006,37
79,10/19/2025,10/19/2025 1:00,10/19/2025 5:00,AC007,23
80,7/23/2025,7/23/2025 22:00,7/24/2025 5:00,AC004,18
81,9/11/2025,9/11/2025 9:00,9/11/2025 17:00,AC001,21
82,11/27/2024,11/27/2024 18:00,11/27/2024 21:00,AC008,1
83,5/17/2024,5/17/2024 2:00,5/17/2024 4:00,AC006,9
84,12/4/2025,12/4/2025 21:00,12/5/2025 2:00,AC007,30
85,4/12/2025,4/12/2025 21:00,4/13/2025 3:00,AC001,25
86,12/18/2024,12/18/2024 22:00,12/19/2024 0:00,AC005,3
87,3/14/2024,3/14/2024 5:00,3/14/2024 15:00,AC004,43
88,12/27/2024,12/27/2024 6:00,12/27/2024 15:00,AC002,40
89,6/9/2025,6/9/2025 9:00,6/9/2025 17:00,AC009,17
90,6/21/2025,6/21/2025 4:00,6/21/2025 5:00,AC009,2
91,8/1/2025,8/1/2025 15:00,8/2/2025 1:00,AC003,24
92,8/22/2024,8/22/2024 9:00,8/22/2024 19:00,AC001,47
93,5/11/2024,5/11/2024 19:00,5/12/2024 1:00,AC006,23
94,1/25/2025,1/25/2025 5:00,1/25/2025 6:00,AC010,34
95,2/27/2024,2/27/2024 0:00,2/27/2024 1:00,AC005,41
96,1/22/2024,1/22/2024 18:00,1/23/2024 0:00,AC010,20
97,5/27/2025,5/27/2025 1:00,5/27/2025 8:00,AC002,31
98,7/6/2025,7/6/2025 1:00,7/6/2025 5:00,AC001,15
99,7/14/2025,7/14/2025 15:00,7/14/2025 17:00,AC005,8
100,8/13/2024,8/13/2024 11:00,8/13/2024 21:00,AC001,8
